Lease,Time (Days),Choke Size,Gas Volume (MMscf),Oil Volume (stb),Water Volume  (stb),Gas Lift Inj Volume  (MMscf),Casing Pressure  (psi(a)),Tubing Pressure  (psi(a)),Active Pressure  (psi(a)),Line Pressure  (psi(a)),Pressure Source ,Calculated Sandface Pressure  (psi(a))
GOOSE,1.0,,0,0,85,,0,2915,2915,1144.101,Tubing Pressure,6138.51594047203
GOOSE,2.0,,6.988,0,440,,0,2933,2933,1177.554,Tubing Pressure,4365.0139098593
GOOSE,3.0,,8.282,0,296,,0,2979,2979,1165.605,Tubing Pressure,4375.29905489796
GOOSE,4.0,,8.298,0,200,,0,2933,2933,1158.871,Tubing Pressure,4244.23449070662
GOOSE,5.0,,8.156,0,125,,0,2888,2888,1156.375,Tubing Pressure,4118.61891964255
GOOSE,6.0,,8.571,0,82,,0,2835.115,2835.115,1149.662,Tubing Pressure,4058.72968989716
GOOSE,7.0,,8.09852,0,111.6077408,,0,2745.802,2745.802,1151.439,Tubing Pressure,3952.1759178456
GOOSE,8.0,,7.18011,0,108.7433382,,13.59,2812.214,2812.214,1150.655,Tubing Pressure,3946.86216731482
GOOSE,9.0,,7.60622,0,105.9524501,,13.59,2812.214,2812.214,1140.694,Tubing Pressure,3977.16987148068
GOOSE,10.0,,5.9292,0,103.23319,,13.59,3476.336,3476.336,1179.165,Tubing Pressure,4575.64570686306
GOOSE,11.0,,5.8745,0,100.5837194,,15.855,2626.718,2626.718,1102.845,Tubing Pressure,3644.52227958551
GOOSE,12.0,,8.25173,0,98.00224728,,15.855,2562.595,2562.595,1096.068,Tubing Pressure,3761.26836100824
GOOSE,13.0,,7.27547,0,95.48702839,,15.855,2539.695,2539.695,1082.869,Tubing Pressure,3651.44721322002
GOOSE,14.0,,8.25498,0,93.03636236,,15,2452.672,2452.672,1112.768,Tubing Pressure,3642.86225995319
GOOSE,15.0,,8.01975,0,90.64859246,,15.855,2425.191,2425.191,1119.45,Tubing Pressure,3590.87199086461
GOOSE,16.0,,4.59151,0,88.32210445,,16,2580,2580,1133.382,Tubing Pressure,3501.58225115675
GOOSE,17.0,,7.09534,0,86.05532556,,15.855,2500.763,2500.763,1125.119,Tubing Pressure,3586.32844562613
GOOSE,18.0,,7.29721,0,83.84672334,,13,2464,2464,1083.744,Tubing Pressure,3562.08747329296
GOOSE,19.0,,8.13711,0,81.6948047,,16,2235,2235,1117.577,Tubing Pressure,3397.24473587186
GOOSE,20.0,,7.85495,0,79.59811485,,15.855,2253.435,2253.435,1105.972,Tubing Pressure,3387.57511249392
GOOSE,21.0,,7.72858,0,77.55523637,,15,2223,2223,1083.399,Tubing Pressure,3342.40825655362
GOOSE,22.0,,7.61507,0,75.56478818,,16,2209,2209,1098.475,Tubing Pressure,3315.46369146894
GOOSE,23.0,,8.34487,0,73.62542466,,15.855,1967.176,1967.176,1084.309,Tubing Pressure,3140.69003757262
GOOSE,24.0,,8.32411,0,71.73583473,,15.855,1923.664,1923.664,1106.529,Tubing Pressure,3093.8578673857
GOOSE,25.0,,8.16582,0,69.89474096,,13,1893,1893,1088.647,Tubing Pressure,3045.24630181756
GOOSE,26.0,,8.01085,0,68.1008987,,15,1870,1870,1089.448,Tubing Pressure,3004.53889704669
GOOSE,27.0,,8.02801,0,66.35309524,,15,1811,1811,1100.212,Tubing Pressure,2946.89493881765
GOOSE,28.0,,7.87988,0,64.65014899,,15.855,1788.55,1788.55,1081.846,Tubing Pressure,2907.42442212341
GOOSE,29.0,,7.78159,0,62.99090871,,13,1763,1763,1099.64,Tubing Pressure,2870.29495076902
GOOSE,30.0,,7.6054,0,61.37425269,,13.59,1754.198,1754.198,1088.579,Tubing Pressure,2841.10365052878
GOOSE,31.0,,7.52592,0,59.79908799,,15,1724,1724,1085.574,Tubing Pressure,2800.92620558353
GOOSE,32.0,,7.49507,0,58.26434976,,15.855,1694.656,1694.656,1098.933,Tubing Pressure,2766.18421868499
GOOSE,33.0,,7.41107,0,56.76900044,,14,1676,1676,1086.062,Tubing Pressure,2736.14392777198
